customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
6022-TRXCK,Female,0,Yes,No,48,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Electronic check,91.96,4412.36,No
0250-FQOFP,Male,1,No,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),24.76,745.86,No
8086-IEYIC,Female,0,No,No,71,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),73.92,5244.19,No
0868-SNZJO,Female,0,Yes,No,9,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),79.79,713.55,No
8685-SBFHC,Male,0,No,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),26.95,166.68,No
2126-JJFGY,Female,0,No,No,34,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),73.18,2491.81,Yes
6617-EJZQO,Female,0,Yes,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Mailed check,105.57,2220.8,Yes
6872-AIGFY,Female,0,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),81.14,897.05,No
8363-XLGGO,Male,0,Yes,No,28,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),62.93,1761.42,No
2583-FZNCB,Male,0,No,No,6,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.73,512.25,No
1674-BJZNZ,Male,0,No,No,33,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,No,Mailed check,43.97,1447.31,No
8076-NGQCL,Female,0,No,No,29,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,No,Electronic check,30.65,888.86,No
4982-NEXWH,Female,0,Yes,No,16,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),85.12,1359.12,No
6617-OUNAI,Female,0,No,No,34,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,80.16,2729.8,No
0988-HBWYC,Male,0,Yes,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.76,140.36,No
4077-DMOGW,Male,0,Yes,No,3,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,25.2,72.03,No
4257-FIZQL,Female,0,Yes,No,24,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),40.19,962.02,No
5123-PFFBQ,Male,0,No,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,27.18,1410.35,No
